word,label
00,0
009843,0
00ක,0
00කට,0
01,0
0199,0
03,0
0300,0
06,0
09,0
0h,0
10,0
100,0
1002,0
100කට,0
101,0
104,0
1062,0
107,0
108,0
109,0
10cc,0
10ක,0
11,0
115,0
119,0
12,0
120,0
12185,0
12ට,0
13,0
130,0
135,0
138,0
13ක,0
13ය,0
14,0
140,0
1436,0
14ක,0
15,0
150,0
1500,0
1505,0
150ක,0
159,0
15ක,0
16,0
1600,0
1610,0
1620,0
17,0
17ක,0
18,0
180,0
1800,0
1857,0
1865,0
188,0
1890,0
18ක,0
19,0
1915,0
1920,0
1922,0
1932,0
1935,0
1939,0
1941,0
1945,0
1950,0
1953,0
1957,0
1958,0
1960,0
1962,0
1964,0
1965,0
1969,0
1970,0
1977,0
1983,0
1985,0
1986,0
1990,0
1993,0
1995,0
1997,0
1e,0
20,0
200,0
2015,0
2016,0
2034,0
2036,0
2041,0
20ක,0
21,0
210,0
212,0
22,0
22350,0
226,0
22ක,0
23,0
24,0
24ය,0
25,0
2500,0
2500ක,0
257,0
25ක,0
26,0
26993,0
270,0
2702,0
274f,0
28,0
28ය,0
2x,0
2x4,0
2ක,0
30,0
300,0
306,0
30ක,0
30ට,0
31,0
315,0
32,0
325,0
34,0
350ක,0
365ක,0
36ක,0
38,0
383,0
38ක,0
38ය,0
3cpo,0
3ඕන,0
3ක,0
3ට,0
3ස,0
40,0
400,0
400ක,0
41,0
42,0
44,0
44ක,0
45,0
450,0
450කට,0
454,0
45ක,0
47,0
48,0
483,0
48ක,0
48ය,0
4ක,0
50,0
500,0
500ක,0
50ක,0
512,0
531,0
55,0
56,0
57,0
5ක,0
60,0
600,0
60ක,0
63,0
639,0
63rd,0
64,0
645,0
65,0
657,0
68,0
6ක,0
70,0
700,0
700ක,0
70ක,0
7393,0
74,0
747,0
750,0
75ක,0
76,0
7600,0
77,0
78s,0
7c,0
800,0
8150,0
82ද,0
90,0
900,0
900ක,0
9022,0
93,0
930,0
95,0
96,0
aagh,0
aah,0
aahh,0
aardvark,0
aaww,0
aayee,0
aayouiaaee,0
aba,0
abadhaya,0
abadhitha,0
abadhithayek,0
abar,0
abbagathayek,0
abdul,0
abdulla,0
abe,0
abege,0
abharana,0
abhawapraptha,0
abhayabhumiya,0
abhayabhumiyak,0
abhibawa,0
abhijananaya,0
abhilashaya,0
abhilashayan,0
abhilekanaya,0
abhimanawath,0
abhimanaya,0
abhimanayak,0
abhimathaya,0
abhinaya,0
abhipraya,0
abhipreranaya,0
abhipreranayak,0
abhirahas,0
abhirahasa,0
abhirahasak,0
abhiruchi,0
abhisaree,0
abhiyachanayak,0
abhiyoga,0
abhiyogaya,0
abhiyogayak,0
abhiyogayata,0
abhyanthara,0
abhyantharaya,0
abhyantharaye,0
abhyantharayen,0
abhyasawala,0
abhyawakasha,0
abhyawakashaya,0
abhyawakashaye,0
abhyawakashayedi,0
abigail,0
abin,0
ablative,0
abolofia,0
about,0
absentia,0
absinthe,0
absolutely,0
accelerators,0
account,0
ace,0
acer,0
achara,0
acharasheelee,0
acharya,0
achchi,0
achchige,0
achchigen,0
achchila,0
achchu,0
achchuwak,0
acorns,0
acta,0
ada,0
adahaganna,0
adahagatha,0
adahanagaraya,0
adahanagarayak,0
adahas,0
adahasa,0
adahasada,0
adahasak,0
adahasakda,0
adahasaki,0
adahasakwath,0
adahasama,0
adahasata,0
adahasayi,0
adak,0
adaki,0
adakin,0
adaksha,0
adakwath,0
adala,0
adalawa,0
adam,0
adama,0
adambara,0
adambarakarayek,0
adambaraya,0
adambarayak,0
adambarayakda,0
adambarayen,0
adambarayi,0
adangu,0
adanguwata,0
adanna,0
adanne,0
adapana,0
adara,0
adaraneeya,0
adaraneeyayan,0
adarawanthayek,0
adarawanthayinge,0
adaraya,0
adarayak,0
adarayama,0
adarayata,0
adaraye,0
adarayen,0
adare,0
adareda,0
adaren,0
adareyi,0
adarsha,0
adarshamath,0
adata,0
adawi,0
adawiya,0
adawiyak,0
adawiyaka,0
adayam,0
adayama,0
adbhutha,0
addara,0
addarata,0
addekeem,0
adderall,0
adele,0
adesha,0
adeshakayak,0
adewawadiyek,0
adhairyamath,0
adhara,0
adharaka,0
adharakaruwan,0
adharakayak,0
adharaya,0
adharayak,0
adheekshanaya,0
adhi,0
adhika,0
adhikama,0
adhikarana,0
adhikaranaya,0
adhikaranayata,0
adhikaree,0
adhikariya,0
adhikariyak,0
adhikariyata,0
adhikayi,0
adhipathiya,0
adhipathyaya,0
adhirajaya,0
adhirajyaya,0
adhirajyayage,0
adhirajyayata,0
adhirajyaye,0
adhisheethakarana,0
adhishtana,0
adhishtanasheelee,0
adhishtanaya,0
adhishtanayen,0
adhiwegee,0
adhunika,0
adhunikayan,0
adhunikayek,0
adhunikayeku,0
adhyaksha,0
adhyakshaka,0
adhyakshakawaraya,0
adhyakshakawaru,0
adhyakshanaya,0
adhyakshawaraya,0
adhyakshawarayata,0
adhyakshawarun,0
adhyapana,0
adhyapanaya,0
adhyapanayata,0
adhyapanaye,0
adhyathmika,0
adhyayana,0
adhyayanaya,0
adhyayanayakata,0
adhyayanayata,0
adhyayanayen,0
adi,0
adina,0
adinakota,0
adinawa,0
adinna,0
adinnam,0
adinnata,0
adinne,0
adipada,0
adipadawaraya,0
adipadawarayata,0
adipadawarayek,0
adipare,0
aditan,0
adiya,0
adiyara,0
adiyarak,0
adiyarayan,0
adiyare,0
adiyata,0
admiral,0
adshyamana,0
adu,0
adukaraganna,0
aduma,0
adupadu,0
adupaduwak,0
aduradarshee,0
aduwa,0
aduwak,0
aduwen,0
aduyi,0
adwitheeya,0
adwitheeyayi,0
aerobics,0
aey,0
affrontery,0
africa,0
aga,0
agadhaya,0
agala,0
agalak,0
agam,0
agama,0
agamak,0
agamakatama,0
agamana,0
agamat,0
agamata,0
agame,0
agamethithumani,0
agamika,0
agane,0
aganeya,0
aganthuka,0
aganthukaya,0
aganthukayage,0
aganthukayan,0
aganthukayata,0
aganthukayek,0
aganthukayeku,0
aganuwara,0
agaradaguru,0
agaradaguruthuma,0
agatha,0
agathiya,0
agathiyakin,0
agathiyata,0
agaurawa,0
agaurawaya,0
agaurawayak,0
agaurawayen,0
agawinisuru,0
agaya,0
agayak,0
aghathaya,0
aghranaya,0
agnadayaka,0
agnawa,0
agnawak,0
agnawan,0
agosthu,0
agosthuwa,0
agrippa,0
agul,0
agula,0
agulak,0
agulu,0
ah,0
aha,0
ahaganna,0
ahagena,0
ahaka,0
ahakata,0
ahala,0
ahalawath,0
ahambayak,0
ahambayaki,0
ahambayakin,0
ahamben,0
ahambu,0
ahamu,0
ahana,0
ahanawa,0
ahanawada,0
ahankara,0
ahankarakamata,0
ahankaraya,0
ahanna,0
ahannada,0
ahannako,0
ahannam,0
ahannawath,0
ahanne,0
ahapu,0
ahara,0
aharawala,0
aharaya,0
aharayak,0
aharayata,0
aharayayi,0
aharayen,0
ahas,0
ahasa,0
ahasak,0
ahasata,0
ahase,0
ahasin,0
ahawal,0
ahayi,0
ahh,0
ahimi,0
ahinsaka,0
ahinsakayan,0
ahinsakayek,0
ahinsakayeku,0
ahinsakayi,0
ahithak,0
ahithakara,0
aho,0
ahu,0
ahula,0
ahuwenawa,0
ahuwenna,0
ahuweyi,0
ahuwuna,0
ahuwunoth,0
ai,0
aid,0
ainge,0
air,0
airsick,0
aithihasika,0
aithihasikawa,0
ajaccio,0
ajeernaya,0
akalata,0
akalaye,0
akalika,0
akalpa,0
akalpaya,0
akalpayak,0
akalpayaki,0
akalpayata,0
akalpayayi,0
akamethi,0
akamethida,0
akamethiyi,0
akameththa,0
akameththak,0
akameththen,0
akanda,0
akandathawayata,0
akara,0
akaradee,0
akarawalin,0
akaraya,0
akarayak,0
akarayaka,0
akarayakata,0
akarayakin,0
akarayakinma,0
akarayata,0
akarayatama,0
akarayataya,0
akarayatayi,0
akarayayi,0
akaraye,0
akarayehi,0
akarayen,0
akarayenda,0
akarayendeyi,0
akarayenma,0
akarmanyawa,0
akarshanaya,0
akarshanayak,0
akarshanayen,0
akarshaneeya,0
akarunika,0
akatayuthu,0
akatayuthukam,0
aked,0
akeekaru,0
akemethiyi,0
akina,0
akka,0
akkala,0
akkalata,0
akkatath,0
akke,0
akma,0
akmawa,0
akmawe,0
akramanasheelee,0
akramanaya,0
akramanayak,0
akramanikayan,0
akramikathawak,0
akriya,0
akriyathawa,0
akriyathawaya,0
akriyayi,0
akshansha,0
akshara,0
akshi,0
akta,0
akthagna,0
akthi,0
akthiya,0
akthiyak,0
akthiyata,0
aktik,0
akunu,0
akura,0
akurak,0
akuru,0
al,0
alankara,0
alankaraya,0
alankarayak,0
alankarayi,0
alasa,0
alawana,0
alawanna,0
alawantha,0
alaya,0
alayi,0
albany,0
albertus,0
alepa,0
alepanaya,0
alepayak,0
alewi,0
alewikaruwanta,0
alewiyak,0
alex,0
alexandretta,0
ali,0
alibi,0
alindayata,0
alindaye,0
aliyek,0
aliyekuta,0
all,0
alla,0
allaganna,0
allagannawa,0
allagaththa,0
allagena,0
allah,0
allala,0
allami,0
allana,0
allanawa,0
allanna,0
allannam,0
allanne,0
allapu,0
allas,0
allasak,0
alls,0
alma,0
almari,0
almariye,0
aloha,0
aloka,0
alokamath,0
alokawath,0
alokaya,0
alokayak,0
alokayata,0
alokaye,0
alonso,0
alpa,0
alpaya,0
already,0
alterez,0
althea,0
alu,0
alugosuwa,0
aluth,0
aluthen,0
aluthin,0
aluthma,0
aluthwediya,0
aluthwediyawan,0
aluthwediyawata,0
aluyama,0
alyssa,0
am,0
amana,0
amanapa,0
amanapayak,0
amanaya,0
amanayeki,0
amanda,0
amanthranaya,0
amanthranayak,0
amanushika,0
amanushikayi,0
amaraneeya,0
amaru,0
amaruda,0
amaruma,0
amaruwak,0
amaruwaka,0
amaruwe,0
amaruwen,0
amaruwenda,0
amaruyi,0
amatha,0
amathaka,0
amathakada,0
amathakayi,0
amathana,0
amathanna,0
amathannam,0
amathanne,0
amathara,0
amatharawa,0
amathya,0
amathyanshaye,0
ambassador,0
amber,0
amen,0
ames,0
ami,0
amihiri,0
amlayakin,0
amma,0
ammada,0
ammage,0
ammagen,0
ammala,0
ammalawa,0
ammapa,0
ammata,0
ammatayi,0
ammath,0
ammawa,0
ammayi,0
amme,0
ammek,0
ammi,0
ammo,0
amo,0
amos,0
ampanna,0
ampannawala,0
amu,0
amudrawya,0
amuna,0
amuththa,0
amuththan,0
amuththange,0
amuththanta,0
amuththek,0
amuththeku,0
amuthu,0
amuthuma,0
amuthuwen,0
amuthuyi,0
amuwe,0
amuwen,0
amy,0
an,0
ana,0
anadeeme,0
anadena,0
anadenna,0
anagatha,0
anagathaya,0
anagathayak,0
anagathaye,0
anagathayedee,0
anak,0
ananthaye,0
ananya,0
anapekshitha,0
anarakshitha,0
anarakshithawa,0
anatha,0
anathayi,0
anathayinta,0
anathura,0
anathurak,0
anathurakadee,0
anathurakata,0
anathuraki,0
anathurakin,0
anathurata,0
anathure,0
anathuru,0
anathurudayaka,0
anawarakayak,0
anawasarayen,0
anawashya,0
anawashyayi,0
anaweki,0
anayanika,0
and,0
andala,0
andamata,0
andamin,0
andana,0
andanawa,0
andanawada,0
andanna,0
andannata,0
